"Name","BrowseName","BrowseNameFull","Path","NodeId","NodeClass","DataType","DataTypeNodeId","AccessLevel","UserAccessLevel","AccessLevelRaw","UserAccessLevelRaw","Value","ValueStatus"
"CocktailReady","CocktailReady","2:CocktailReady","CocktailReady","ns=2;i=15","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"DispenseIce","DispenseIce","2:DispenseIce","DispenseIce","ns=2;i=8","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","true","Good (0x00000000)"
"DispenseLiqueur1","DispenseLiqueur1","2:DispenseLiqueur1","DispenseLiqueur1","ns=2;i=12","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"DispenseLiqueur2","DispenseLiqueur2","2:DispenseLiqueur2","DispenseLiqueur2","ns=2;i=13","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"DispenseMix1","DispenseMix1","2:DispenseMix1","DispenseMix1","ns=2;i=9","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"DispenseMix2","DispenseMix2","2:DispenseMix2","DispenseMix2","ns=2;i=10","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"DispenseMix3","DispenseMix3","2:DispenseMix3","DispenseMix3","ns=2;i=11","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"DispenseWater","DispenseWater","2:DispenseWater","DispenseWater","ns=2;i=14","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"IceRequest","IceRequest","2:IceRequest","IceRequest","ns=2;i=1","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","true","Good (0x00000000)"
"Liqueur1","Liqueur1","2:Liqueur1","Liqueur1","ns=2;i=5","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"Liqueur2","Liqueur2","2:Liqueur2","Liqueur2","ns=2;i=6","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"MixType1","MixType1","2:MixType1","MixType1","ns=2;i=2","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"MixType2","MixType2","2:MixType2","MixType2","ns=2;i=3","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"MixType3","MixType3","2:MixType3","MixType3","ns=2;i=4","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
"WaterRequest","WaterRequest","2:WaterRequest","WaterRequest","ns=2;i=7","Variable","Boolean","ns=0;i=1","3 (Read+Write)","3 (Read+Write)","3","3","false","Good (0x00000000)"
